BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_3:7	01.10.2020 00:01:31.0366	01.10.2020 00:24:19.8554	22:48.8188	0.27	0.73	01.10.2020 00:34:34.3700	69.02			1
Auftrag_Typ_3:8	01.10.2020 00:01:34.3565	01.10.2020 00:37:00.4427	35:26.0862	0.06	0.94	01.10.2020 00:34:37.6899	107.20			-2
Auftrag_Typ_4:4	01.10.2020 00:01:34.4832	01.10.2020 00:22:09.4214	20:34.9382	0.46	0.54	01.10.2020 00:54:40.8166	38.76			1
Auftrag_Typ_5:5	01.10.2020 00:01:36.8590	01.10.2020 01:10:56.9895	1:09:20.1305	0.60	0.40	01.10.2020 01:37:15.1924	72.50			1
Auftrag_Typ_3:9	01.10.2020 00:01:37.3400	01.10.2020 00:20:31.6172	18:54.2771	0.27	0.73	01.10.2020 00:34:40.6734	57.19			1
Auftrag_Typ_5:6	01.10.2020 00:01:37.9310	01.10.2020 00:23:37.7742	21:59.8432	0.82	0.18	01.10.2020 01:37:16.2643	23.00			1
Auftrag_Typ_1:13	01.10.2020 00:01:38.3006	01.10.2020 00:23:09.4414	21:31.1408	0.17	0.83	01.10.2020 00:34:11.6339	66.10			1
Auftrag_Typ_1:14	01.10.2020 00:01:39.0853	01.10.2020 00:28:53.3462	27:14.2609	0.17	0.83	01.10.2020 00:34:12.4186	83.67			1
Auftrag_Typ_1:15	01.10.2020 00:01:41.1422	01.10.2020 00:26:13.4662	24:32.3240	0.27	0.73	01.10.2020 00:34:14.4755	75.37			1
Auftrag_Typ_5:7	01.10.2020 00:01:42.1281	01.10.2020 01:51:44.9452	1:50:02.8171	0.40	0.60	01.10.2020 01:37:20.4614	115.07			-3
Auftrag_Typ_1:16	01.10.2020 00:01:44.4872	01.10.2020 00:09:03.7295	7:19.2423	0.80	0.20	01.10.2020 00:34:17.8205	22.49			1
Auftrag_Typ_5:8	01.10.2020 00:01:45.1285	01.10.2020 00:46:05.5895	44:20.4610	0.63	0.37	01.10.2020 01:37:23.4619	46.36			1
Auftrag_Typ_5:9	01.10.2020 00:01:45.1364	01.10.2020 00:44:09.4895	42:24.3531	0.50	0.50	01.10.2020 01:37:23.4697	44.34			1
Auftrag_Typ_3:10	01.10.2020 00:01:45.1452	01.10.2020 00:23:52.9372	22:07.7920	0.29	0.71	01.10.2020 00:34:48.4785	66.95			1
Auftrag_Typ_1:17	01.10.2020 00:01:45.1617	01.10.2020 00:25:10.9142	23:25.7525	0.14	0.86	01.10.2020 00:34:18.4950	71.97			1
Auftrag_Typ_1:18	01.10.2020 00:01:45.3869	01.10.2020 00:23:47.7854	22:02.3985	0.22	0.78	01.10.2020 00:34:18.7202	67.70			1
Auftrag_Typ_1:19	01.10.2020 00:01:45.4619	01.10.2020 02:10:57.1895	2:09:11.7276	0.03	0.97	01.10.2020 00:34:18.7952	396.85			-5
Auftrag_Typ_1:20	01.10.2020 00:01:45.6925	01.10.2020 00:12:20.3776	10:34.6851	0.44	0.56	01.10.2020 00:34:19.0258	32.49			1
Auftrag_Typ_4:5	01.10.2020 00:01:46.2054	01.10.2020 00:27:41.1254	25:54.9199	0.27	0.73	01.10.2020 00:54:52.5388	48.80			1
Auftrag_Typ_4:6	01.10.2020 00:01:49.0148	01.10.2020 00:17:49.6670	16:00.6522	0.66	0.34	01.10.2020 00:54:55.3482	30.15			1
Auftrag_Typ_2:4	01.10.2020 00:01:49.3922	01.10.2020 00:21:11.7854	19:22.3932	0.23	0.77	01.10.2020 00:38:16.0589	53.16			1
Auftrag_Typ_1:21	01.10.2020 00:01:49.8078	01.10.2020 00:13:06.6042	11:16.7964	0.48	0.52	01.10.2020 00:34:23.1412	34.65			1
Auftrag_Typ_1:22	01.10.2020 00:01:50.0548	01.10.2020 00:28:26.2942	26:36.2394	0.16	0.84	01.10.2020 00:34:23.3882	81.72			1
Auftrag_Typ_5:10	01.10.2020 00:01:50.6598	01.10.2020 01:23:31.8251	1:21:41.1653	0.83	0.17	01.10.2020 01:37:28.9931	85.41			1
Auftrag_Typ_1:23	01.10.2020 00:01:51.0101	01.10.2020 00:33:49.4062	31:58.3961	0.22	0.78	01.10.2020 00:34:24.3434	98.21			10
Auftrag_Typ_5:11	01.10.2020 00:01:53.0339	01.10.2020 00:16:00.8254	14:07.7915	0.73	0.27	01.10.2020 01:37:31.3672	14.77			1
Auftrag_Typ_3:11	01.10.2020 00:01:53.9911	01.10.2020 00:11:20.6227	9:26.6316	0.65	0.35	01.10.2020 00:34:57.3244	28.57			1
Auftrag_Typ_1:24	01.10.2020 00:01:57.9150	01.10.2020 00:20:11.8853	18:13.9703	0.36	0.64	01.10.2020 00:34:31.2483	56.01			1
Auftrag_Typ_1:25	01.10.2020 00:01:58.2613	01.10.2020 00:11:35.6854	9:37.4241	0.72	0.28	01.10.2020 00:34:31.5946	29.56			1
Auftrag_Typ_5:12	01.10.2020 00:01:59.2415	01.10.2020 00:44:09.4895	42:10.2480	1.00	0.00	01.10.2020 01:37:37.5748	44.09			1

Episode102
Auftrag_Typ_1:1	01.10.2020 00:01:00.1968	01.10.2020 00:04:08.1008	3:07.9040	1.00	0.00	01.10.2020 00:33:33.5301	9.62			1
Auftrag_Typ_3:1	01.10.2020 00:01:00.5482	01.10.2020 00:10:35.4829	9:34.9347	0.37	0.63	01.10.2020 00:34:03.8815	28.99			1
Auftrag_Typ_3:2	01.10.2020 00:01:02.3235	01.10.2020 00:52:13.7237	51:11.4002	0.09	0.91	01.10.2020 00:34:05.6568	154.86			-4
Auftrag_Typ_2:1	01.10.2020 00:01:02.7334	01.10.2020 01:04:31.3624	1:03:28.6290	0.04	0.96	01.10.2020 00:37:29.4001	174.18			-4
Auftrag_Typ_3:3	01.10.2020 00:01:02.8358	01.10.2020 00:04:09.9229	3:07.0872	0.95	0.05	01.10.2020 00:34:06.1691	9.43			1
Auftrag_Typ_4:1	01.10.2020 00:01:07.7793	01.10.2020 00:43:39.5223	42:31.7430	0.23	0.77	01.10.2020 00:54:14.1126	80.08			1
Auftrag_Typ_3:4	01.10.2020 00:01:08.7141	01.10.2020 00:04:01.2154	2:52.5013	0.85	0.15	01.10.2020 00:34:12.0474	8.70			1
Auftrag_Typ_3:5	01.10.2020 00:01:09.1527	01.10.2020 00:21:51.8424	20:42.6897	0.13	0.87	01.10.2020 00:34:12.4860	62.66			1
Auftrag_Typ_1:2	01.10.2020 00:01:10.0669	01.10.2020 01:14:23.6928	1:13:13.6259	0.08	0.92	01.10.2020 00:33:43.4003	224.93			-5
Auftrag_Typ_3:6	01.10.2020 00:01:11.3685	01.10.2020 00:40:05.0901	38:53.7216	0.12	0.88	01.10.2020 00:34:14.7018	117.67			-3
Auftrag_Typ_1:3	01.10.2020 00:01:12.4767	01.10.2020 00:14:25.4162	13:12.9395	0.26	0.74	01.10.2020 00:33:45.8100	40.59			1
Auftrag_Typ_3:7	01.10.2020 00:01:19.1571	01.10.2020 00:06:18.4429	4:59.2858	0.92	0.08	01.10.2020 00:34:22.4904	15.09			1
Auftrag_Typ_1:4	01.10.2020 00:01:19.1654	01.10.2020 00:16:46.1754	15:27.0100	0.31	0.69	01.10.2020 00:33:52.4987	47.46			1
Auftrag_Typ_1:5	01.10.2020 00:01:20.3692	01.10.2020 00:33:07.1368	31:46.7675	0.13	0.87	01.10.2020 00:33:53.7026	97.62			10
Auftrag_Typ_4:2	01.10.2020 00:01:20.8349	01.10.2020 00:43:17.7807	41:56.9459	0.59	0.41	01.10.2020 00:54:27.1682	78.99			1
Auftrag_Typ_5:1	01.10.2020 00:01:20.9239	01.10.2020 02:52:30.5426	2:51:09.6187	0.20	0.80	01.10.2020 01:36:59.2573	178.97			-4
Auftrag_Typ_3:8	01.10.2020 00:01:21.0975	01.10.2020 00:39:17.7224	37:56.6249	0.13	0.87	01.10.2020 00:34:24.4308	114.79			-3
Auftrag_Typ_2:2	01.10.2020 00:01:21.8190	01.10.2020 00:30:44.2386	29:22.4195	0.10	0.90	01.10.2020 00:37:48.4857	80.60			1
Auftrag_Typ_1:6	01.10.2020 00:01:23.6927	01.10.2020 00:32:10.7561	30:47.0633	0.12	0.88	01.10.2020 00:33:57.0261	94.56			10
Auftrag_Typ_5:2	01.10.2020 00:01:24.6024	01.10.2020 00:40:10.4429	38:45.8405	0.93	0.07	01.10.2020 01:37:02.9357	40.53			1
Auftrag_Typ_3:9	01.10.2020 00:01:25.0477	01.10.2020 00:35:40.6322	34:15.5845	0.08	0.92	01.10.2020 00:34:28.3810	103.64			-2
Auftrag_Typ_6:1	01.10.2020 00:01:25.7994	01.10.2020 01:49:32.3428	1:48:06.5435	0.53	0.47	01.10.2020 01:59:59.1327	91.19			10
Auftrag_Typ_1:7	01.10.2020 00:01:25.9029	01.10.2020 00:10:14.9257	8:49.0228	0.43	0.57	01.10.2020 00:33:59.2362	27.08			1
Auftrag_Typ_3:10	01.10.2020 00:01:26.3645	01.10.2020 00:37:49.1522	36:22.7878	0.14	0.86	01.10.2020 00:34:29.6978	110.06			-2
Auftrag_Typ_3:11	01.10.2020 00:01:27.6936	01.10.2020 00:37:12.4322	35:44.7387	0.20	0.80	01.10.2020 00:34:31.0269	108.14			-2
Auftrag_Typ_5:3	01.10.2020 00:01:27.8984	01.10.2020 00:56:30.8838	55:02.9854	0.40	0.60	01.10.2020 01:37:06.2317	57.56			1
Auftrag_Typ_3:12	01.10.2020 00:01:28.2422	01.10.2020 00:32:27.9238	30:59.6816	0.56	0.44	01.10.2020 00:34:31.5755	93.77			10
Auftrag_Typ_1:8	01.10.2020 00:01:29.7030	01.10.2020 00:02:56.2030	1:26.5000	1.00	0.00	01.10.2020 00:34:03.0364	4.43			1
Auftrag_Typ_2:3	01.10.2020 00:01:31.5316	01.10.2020 00:34:22.2121	32:50.6805	0.09	0.91	01.10.2020 00:37:58.1982	90.12			10
Auftrag_Typ_4:3	01.10.2020 00:01:31.8191	01.10.2020 00:26:17.2106	24:45.3915	0.56	0.44	01.10.2020 00:54:38.1524	46.62			1
Auftrag_Typ_1:9	01.10.2020 00:01:32.8501	01.10.2020 01:07:35.6624	1:06:02.8123	0.09	0.91	01.10.2020 00:34:06.1834	202.87			-5
Auftrag_Typ_3:13	01.10.2020 00:01:34.1701	01.10.2020 00:36:14.7624	34:40.5923	0.09	0.91	01.10.2020 00:34:37.5034	104.90			-2
Auftrag_Typ_5:4	01.10.2020 00:01:35.1178	01.10.2020 02:20:26.6927	2:18:51.5749	0.25	0.75	01.10.2020 01:37:13.4511	145.19			-3
Auftrag_Typ_5:5	01.10.2020 00:01:37.8678	01.10.2020 01:09:57.2928	1:08:19.4251	0.64	0.36	01.10.2020 01:37:16.2011	71.44			1
Auftrag_Typ_4:4	01.10.2020 00:01:39.9278	01.10.2020 00:32:49.0362	31:09.1085	0.30	0.70	01.10.2020 00:54:46.2611	58.66			1
Auftrag_Typ_3:14	01.10.2020 00:01:40.3849	01.10.2020 00:26:18.2806	24:37.8957	0.21	0.79	01.10.2020 00:34:43.7182	74.52			1
Auftrag_Typ_4:5	01.10.2020 00:01:40.4391	01.10.2020 00:24:30.0762	22:49.6371	0.41	0.59	01.10.2020 00:54:46.7725	42.98			1
Auftrag_Typ_4:6	01.10.2020 00:01:40.6823	01.10.2020 00:18:30.7224	16:50.0401	0.64	0.36	01.10.2020 00:54:47.0157	31.70			1
Auftrag_Typ_5:6	01.10.2020 00:01:40.7503	01.10.2020 00:09:15.0930	7:34.3427	0.99	0.01	01.10.2020 01:37:19.0836	7.92			1
Auftrag_Typ_1:10	01.10.2020 00:01:41.1130	01.10.2020 00:18:36.4927	16:55.3797	0.37	0.63	01.10.2020 00:34:14.4463	51.98			1
Auftrag_Typ_5:7	01.10.2020 00:01:41.9086	01.10.2020 00:16:46.1754	15:04.2668	0.81	0.19	01.10.2020 01:37:20.2419	15.76			1
Auftrag_Typ_1:11	01.10.2020 00:01:42.6342	01.10.2020 00:13:46.8962	12:04.2620	0.31	0.69	01.10.2020 00:34:15.9675	37.08			1
Auftrag_Typ_3:15	01.10.2020 00:01:42.6778	01.10.2020 00:24:45.4466	23:02.7689	0.31	0.69	01.10.2020 00:34:46.0111	69.72			1
Auftrag_Typ_3:16	01.10.2020 00:01:44.0397	01.10.2020 00:28:50.0968	27:06.0570	0.17	0.83	01.10.2020 00:34:47.3731	81.99			1
Auftrag_Typ_3:17	01.10.2020 00:01:44.4796	01.10.2020 00:14:52.0254	13:07.5458	0.32	0.68	01.10.2020 00:34:47.8130	39.71			1
Auftrag_Typ_3:18	01.10.2020 00:01:45.5901	01.10.2020 00:22:24.7607	20:39.1706	0.31	0.69	01.10.2020 00:34:48.9234	62.48			1
Auftrag_Typ_1:12	01.10.2020 00:01:47.2982	01.10.2020 00:16:18.6162	14:31.3180	0.22	0.78	01.10.2020 00:34:20.6315	44.61			1
Auftrag_Typ_5:8	01.10.2020 00:01:48.4646	01.10.2020 01:04:37.6624	1:02:49.1978	0.97	0.03	01.10.2020 01:37:26.7979	65.68			1
Auftrag_Typ_1:13	01.10.2020 00:01:50.2291	01.10.2020 00:06:23.0921	4:32.8630	0.55	0.45	01.10.2020 00:34:23.5624	13.97			1
Auftrag_Typ_3:19	01.10.2020 00:01:50.4695	01.10.2020 00:13:05.9901	11:15.5206	0.36	0.64	01.10.2020 00:34:53.8028	34.06			1
Auftrag_Typ_3:20	01.10.2020 00:01:52.1313	01.10.2020 00:31:53.6968	30:01.5654	0.15	0.85	01.10.2020 00:34:55.4647	90.84			10
Auftrag_Typ_3:21	01.10.2020 00:01:52.2734	01.10.2020 00:20:01.6824	18:09.4090	0.20	0.80	01.10.2020 00:34:55.6067	54.93			1
Auftrag_Typ_3:22	01.10.2020 00:01:52.3131	01.10.2020 00:30:21.8968	28:29.5836	0.23	0.77	01.10.2020 00:34:55.6465	86.20			1
Auftrag_Typ_1:14	01.10.2020 00:01:52.5040	01.10.2020 00:07:33.0457	5:40.5418	0.89	0.11	01.10.2020 00:34:25.8373	17.43			1
Auftrag_Typ_6:2	01.10.2020 00:01:52.9401	01.10.2020 00:26:50.7561	24:57.8160	0.67	0.33	01.10.2020 02:00:26.2734	21.06			1
Auftrag_Typ_1:15	01.10.2020 00:01:53.2661	01.10.2020 00:10:05.5667	8:12.3006	0.76	0.24	01.10.2020 00:34:26.5994	25.20			1
Auftrag_Typ_2:4	01.10.2020 00:01:53.3156	01.10.2020 00:09:37.0254	7:43.7098	0.40	0.60	01.10.2020 00:38:19.9822	21.21			1
Auftrag_Typ_5:9	01.10.2020 00:01:53.9249	01.10.2020 01:28:20.5624	1:26:26.6375	0.83	0.17	01.10.2020 01:37:32.2583	90.39			10
Auftrag_Typ_3:23	01.10.2020 00:01:54.6580	01.10.2020 00:08:26.9629	6:32.3049	0.61	0.39	01.10.2020 00:34:57.9913	19.78			1
Auftrag_Typ_1:16	01.10.2020 00:01:59.5548	01.10.2020 00:14:19.6162	12:20.0614	0.48	0.52	01.10.2020 00:34:32.8882	37.89			1

Episode103
Auftrag_Typ_5:1	01.10.2020 00:01:00.3985	01.10.2020 00:08:55.8985	7:55.5000	1.00	0.00	01.10.2020 01:36:38.7319	8.29			1
Auftrag_Typ_2:1	01.10.2020 00:01:00.4747	01.10.2020 00:04:24.1986	3:23.7239	0.56	0.44	01.10.2020 00:37:27.1413	9.32			1
Auftrag_Typ_6:1	01.10.2020 00:01:01.8634	01.10.2020 00:11:39.7533	10:37.8899	0.88	0.12	01.10.2020 01:59:35.1967	8.97			1
Auftrag_Typ_3:1	01.10.2020 00:01:03.5150	01.10.2020 01:01:12.9445	1:00:09.4295	0.06	0.94	01.10.2020 00:34:06.8483	181.99			-4
Auftrag_Typ_3:2	01.10.2020 00:01:04.2379	01.10.2020 00:07:24.7876	6:20.5497	0.42	0.58	01.10.2020 00:34:07.5712	19.19			1
Auftrag_Typ_3:3	01.10.2020 00:01:04.3088	01.10.2020 00:03:44.4676	2:40.1587	0.99	0.01	01.10.2020 00:34:07.6422	8.08			1
Auftrag_Typ_1:1	01.10.2020 00:01:04.4447	01.10.2020 00:51:56.9377	50:52.4930	0.08	0.92	01.10.2020 00:33:37.7781	156.27			-4
Auftrag_Typ_1:2	01.10.2020 00:01:09.9108	01.10.2020 00:44:54.0033	43:44.0926	0.11	0.89	01.10.2020 00:33:43.2441	134.34			-3
Auftrag_Typ_1:3	01.10.2020 00:01:11.4608	01.10.2020 00:47:09.6134	45:58.1525	0.14	0.86	01.10.2020 00:33:44.7942	141.20			-3
Auftrag_Typ_2:2	01.10.2020 00:01:11.5871	01.10.2020 00:53:12.7097	52:01.1227	0.03	0.97	01.10.2020 00:37:38.2538	142.73			-3
Auftrag_Typ_4:1	01.10.2020 00:01:12.9623	01.10.2020 00:30:04.9446	28:51.9823	0.61	0.39	01.10.2020 00:54:19.2956	54.36			1
Auftrag_Typ_3:4	01.10.2020 00:01:14.5637	01.10.2020 00:05:34.6276	4:20.0638	0.61	0.39	01.10.2020 00:34:17.8970	13.11			1
Auftrag_Typ_1:4	01.10.2020 00:01:16.1924	01.10.2020 01:52:09.5466	1:50:53.3542	0.05	0.95	01.10.2020 00:33:49.5258	340.62			-5
Auftrag_Typ_1:5	01.10.2020 00:01:16.7334	01.10.2020 00:15:15.0378	13:58.3044	1.00	0.00	01.10.2020 00:33:50.0667	42.92			1
Auftrag_Typ_2:3	01.10.2020 00:01:17.2991	01.10.2020 00:52:06.6337	50:49.3346	0.03	0.97	01.10.2020 00:37:43.9658	139.45			-3
Auftrag_Typ_5:2	01.10.2020 00:01:18.1050	01.10.2020 02:12:39.5132	2:11:21.4081	0.53	0.47	01.10.2020 01:36:56.4384	137.35			-3
Auftrag_Typ_3:5	01.10.2020 00:01:18.4736	01.10.2020 00:53:09.1068	51:50.6332	0.06	0.94	01.10.2020 00:34:21.8069	156.84			-4
Auftrag_Typ_1:6	01.10.2020 00:01:18.8076	01.10.2020 00:18:31.7133	17:12.9057	0.42	0.58	01.10.2020 00:33:52.1409	52.88			1
Auftrag_Typ_3:6	01.10.2020 00:01:19.5496	01.10.2020 00:50:53.5588	49:34.0092	0.03	0.97	01.10.2020 00:34:22.8829	149.95			-3
Auftrag_Typ_3:7	01.10.2020 00:01:19.7333	01.10.2020 00:37:08.7634	35:49.0300	0.07	0.93	01.10.2020 00:34:23.0667	108.35			-2
Auftrag_Typ_6:2	01.10.2020 00:01:20.7185	01.10.2020 01:00:00.9730	58:40.2545	0.99	0.01	01.10.2020 01:59:54.0518	49.49			1
Auftrag_Typ_2:4	01.10.2020 00:01:22.0864	01.10.2020 00:49:45.8108	48:23.7244	0.03	0.97	01.10.2020 00:37:48.7531	132.79			-3
Auftrag_Typ_5:3	01.10.2020 00:01:23.8102	01.10.2020 01:18:02.2633	1:16:38.4531	0.64	0.36	01.10.2020 01:37:02.1435	80.14			1
Auftrag_Typ_1:7	01.10.2020 00:01:24.5908	01.10.2020 00:53:03.4734	51:38.8825	0.12	0.88	01.10.2020 00:33:57.9242	158.65			-4
Auftrag_Typ_5:4	01.10.2020 00:01:24.6691	01.10.2020 00:49:38.4628	48:13.7937	0.34	0.66	01.10.2020 01:37:03.0025	50.43			1
Auftrag_Typ_1:8	01.10.2020 00:01:24.7249	01.10.2020 00:11:17.9985	9:53.2737	0.52	0.48	01.10.2020 00:33:58.0582	30.37			1
Auftrag_Typ_4:2	01.10.2020 00:01:26.3623	01.10.2020 00:49:14.8448	47:48.4825	0.21	0.79	01.10.2020 00:54:32.6957	90.02			10
Auftrag_Typ_1:9	01.10.2020 00:01:27.0519	01.10.2020 00:17:29.3848	16:02.3329	0.35	0.65	01.10.2020 00:34:00.3852	49.27			1
Auftrag_Typ_4:3	01.10.2020 00:01:27.6918	01.10.2020 00:50:07.3748	48:39.6830	0.28	0.72	01.10.2020 00:54:34.0251	91.63			10
Auftrag_Typ_3:8	01.10.2020 00:01:27.7239	01.10.2020 00:45:58.7446	44:31.0207	0.42	0.58	01.10.2020 00:34:31.0572	134.67			-3
Auftrag_Typ_1:10	01.10.2020 00:01:29.1961	01.10.2020 00:16:12.4186	14:43.2224	0.39	0.61	01.10.2020 00:34:02.5294	45.22			1
Auftrag_Typ_4:4	01.10.2020 00:01:29.7143	01.10.2020 00:24:09.2224	22:39.5081	0.28	0.72	01.10.2020 00:54:36.0477	42.67			1
Auftrag_Typ_4:5	01.10.2020 00:01:29.8961	01.10.2020 00:24:15.9647	22:46.0686	0.43	0.57	01.10.2020 00:54:36.2294	42.87			1
Auftrag_Typ_1:11	01.10.2020 00:01:30.6434	01.10.2020 00:11:24.8186	9:54.1752	0.16	0.84	01.10.2020 00:34:03.9767	30.42			1
Auftrag_Typ_5:5	01.10.2020 00:01:32.6196	01.10.2020 00:32:14.6948	30:42.0751	0.79	0.21	01.10.2020 01:37:10.9530	32.10			1
Auftrag_Typ_3:9	01.10.2020 00:01:33.0950	01.10.2020 01:49:16.5066	1:47:43.4117	0.05	0.95	01.10.2020 00:34:36.4283	325.89			-5
Auftrag_Typ_3:10	01.10.2020 00:01:33.6332	01.10.2020 00:32:29.3634	30:55.7301	0.09	0.91	01.10.2020 00:34:36.9666	93.57			10
Auftrag_Typ_3:11	01.10.2020 00:01:34.5230	01.10.2020 00:19:52.2324	18:17.7095	0.26	0.74	01.10.2020 00:34:37.8563	55.35			1
Auftrag_Typ_2:5	01.10.2020 00:01:34.5899	01.10.2020 00:10:24.3875	8:49.7977	0.42	0.58	01.10.2020 00:38:01.2566	24.23			1
Auftrag_Typ_5:6	01.10.2020 00:01:35.6362	01.10.2020 00:35:30.7718	33:55.1356	0.51	0.49	01.10.2020 01:37:13.9695	35.47			1
Auftrag_Typ_3:12	01.10.2020 00:01:36.0375	01.10.2020 00:38:03.5578	36:27.5203	0.10	0.90	01.10.2020 00:34:39.3709	110.30			-2
Auftrag_Typ_1:12	01.10.2020 00:01:36.3951	01.10.2020 00:41:16.8434	39:40.4483	0.08	0.92	01.10.2020 00:34:09.7284	121.87			-3
Auftrag_Typ_2:6	01.10.2020 00:01:36.4388	01.10.2020 00:35:31.9634	33:55.5246	0.09	0.91	01.10.2020 00:38:03.1054	93.09			10
Auftrag_Typ_4:6	01.10.2020 00:01:37.7044	01.10.2020 00:12:16.7307	10:39.0263	0.88	0.12	01.10.2020 00:54:44.0378	20.06			1
Auftrag_Typ_3:13	01.10.2020 00:01:39.0465	01.10.2020 00:29:25.7634	27:46.7169	0.16	0.84	01.10.2020 00:34:42.3798	84.04			1
Auftrag_Typ_4:7	01.10.2020 00:01:39.5454	01.10.2020 00:09:16.7875	7:37.2422	0.93	0.07	01.10.2020 00:54:45.8787	14.35			1
Auftrag_Typ_1:13	01.10.2020 00:01:39.6077	01.10.2020 00:17:18.1978	15:38.5901	0.24	0.76	01.10.2020 00:34:12.9411	48.05			1
Auftrag_Typ_1:14	01.10.2020 00:01:41.8186	01.10.2020 00:13:36.8248	11:55.0063	0.37	0.63	01.10.2020 00:34:15.1519	36.60			1
Auftrag_Typ_3:14	01.10.2020 00:01:42.2143	01.10.2020 00:32:20.0698	30:37.8555	0.07	0.93	01.10.2020 00:34:45.5476	92.66			10
Auftrag_Typ_1:15	01.10.2020 00:01:45.1859	01.10.2020 00:13:36.9787	11:51.7928	0.24	0.76	01.10.2020 00:34:18.5192	36.44			1
Auftrag_Typ_4:8	01.10.2020 00:01:46.2434	01.10.2020 00:30:35.4438	28:49.2004	0.44	0.56	01.10.2020 00:54:52.5768	54.27			1
Auftrag_Typ_3:15	01.10.2020 00:01:46.4251	01.10.2020 00:32:10.3634	30:23.9382	0.15	0.85	01.10.2020 00:34:49.7585	91.96			10
Auftrag_Typ_3:16	01.10.2020 00:01:46.8352	01.10.2020 00:19:36.0388	17:49.2036	0.19	0.81	01.10.2020 00:34:50.1686	53.91			1
Auftrag_Typ_1:16	01.10.2020 00:01:47.0932	01.10.2020 00:43:14.2134	41:27.1202	0.15	0.85	01.10.2020 00:34:20.4265	127.33			-3
Auftrag_Typ_3:17	01.10.2020 00:01:51.5616	01.10.2020 00:22:00.7524	20:09.1908	0.32	0.68	01.10.2020 00:34:54.8949	60.97			1
Auftrag_Typ_6:3	01.10.2020 00:01:52.4892	01.10.2020 00:39:28.1548	37:35.6655	0.81	0.19	01.10.2020 02:00:25.8226	31.71			1
Auftrag_Typ_6:4	01.10.2020 00:01:53.3616	01.10.2020 01:50:44.1927	1:48:50.8310	0.60	0.40	01.10.2020 02:00:26.6950	91.81			10
Auftrag_Typ_3:18	01.10.2020 00:01:55.2572	01.10.2020 00:35:13.9634	33:18.7061	0.17	0.83	01.10.2020 00:34:58.5906	100.78			10
Auftrag_Typ_2:7	01.10.2020 00:01:56.7704	01.10.2020 00:03:53.2985	1:56.5281	0.80	0.20	01.10.2020 00:38:23.4371	5.33			1
Auftrag_Typ_5:7	01.10.2020 00:01:58.4600	01.10.2020 00:35:42.3985	33:43.9385	0.86	0.14	01.10.2020 01:37:36.7934	35.27			1

Episode104
Auftrag_Typ_3:1	01.10.2020 00:01:00.2199	01.10.2020 00:25:25.7460	24:25.5261	0.10	0.90	01.10.2020 00:34:03.5533	73.89			1
Auftrag_Typ_3:2	01.10.2020 00:01:00.4675	01.10.2020 00:02:08.3675	1:07.9000	1.00	0.00	01.10.2020 00:34:03.8009	3.42			1
Auftrag_Typ_5:1	01.10.2020 00:01:03.8762	01.10.2020 03:14:18.5498	3:13:14.6736	0.16	0.84	01.10.2020 01:36:42.2096	202.06			-5
Auftrag_Typ_1:1	01.10.2020 00:01:04.1172	01.10.2020 00:32:44.6563	31:40.5390	0.20	0.80	01.10.2020 00:33:37.4506	97.30			10
Auftrag_Typ_4:1	01.10.2020 00:01:04.9409	01.10.2020 00:19:07.1460	18:02.2050	0.34	0.66	01.10.2020 00:54:11.2743	33.96			1
Auftrag_Typ_3:3	01.10.2020 00:01:06.4468	01.10.2020 00:27:46.5876	26:40.1408	0.18	0.82	01.10.2020 00:34:09.7802	80.68			1
Auftrag_Typ_3:4	01.10.2020 00:01:07.1872	01.10.2020 00:23:29.5476	22:22.3604	0.21	0.79	01.10.2020 00:34:10.5206	67.68			1
Auftrag_Typ_3:5	01.10.2020 00:01:07.9296	01.10.2020 00:15:42.6095	14:34.6800	1.00	0.00	01.10.2020 00:34:11.2629	44.10			1
Auftrag_Typ_1:2	01.10.2020 00:01:08.0423	01.10.2020 00:15:28.2636	14:20.2213	0.15	0.85	01.10.2020 00:33:41.3756	44.04			1
Auftrag_Typ_4:2	01.10.2020 00:01:11.7213	01.10.2020 00:40:52.3154	39:40.5942	0.34	0.66	01.10.2020 00:54:18.0546	74.71			1
Auftrag_Typ_1:3	01.10.2020 00:01:13.1178	01.10.2020 00:31:50.2555	30:37.1377	0.27	0.73	01.10.2020 00:33:46.4511	94.05			10
Auftrag_Typ_3:6	01.10.2020 00:01:13.3708	01.10.2020 00:24:25.2676	23:11.8968	0.22	0.78	01.10.2020 00:34:16.7042	70.18			1
Auftrag_Typ_5:2	01.10.2020 00:01:13.5960	01.10.2020 00:36:44.9003	35:31.3044	0.96	0.04	01.10.2020 01:36:51.9293	37.14			1
Auftrag_Typ_1:4	01.10.2020 00:01:15.6025	01.10.2020 00:07:32.3502	6:16.7477	0.82	0.18	01.10.2020 00:33:48.9358	19.29			1
Auftrag_Typ_1:5	01.10.2020 00:01:16.6302	01.10.2020 01:08:18.6702	1:07:02.0401	0.50	0.50	01.10.2020 00:33:49.9635	205.91			-5
Auftrag_Typ_3:7	01.10.2020 00:01:16.6487	01.10.2020 00:20:19.7460	19:03.0973	0.15	0.85	01.10.2020 00:34:19.9820	57.64			1
