BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_5:8	01.10.2020 00:01:33.4329	01.10.2020 02:04:50.1856	2:03:16.7527	0.22	0.78	01.10.2020 01:37:11.7662	128.90		x	-3
Auftrag_Typ_4:8	01.10.2020 00:01:33.6971	01.10.2020 01:42:39.3659	1:41:05.6687	0.25	0.75	01.10.2020 00:54:40.0305	190.37		x	-5
Auftrag_Typ_3:11	01.10.2020 00:01:33.9542	01.10.2020 00:19:24.1567	17:50.2025	0.17	0.83	01.10.2020 00:34:37.2875	53.96		x	1
Auftrag_Typ_1:9	01.10.2020 00:01:34.6176	01.10.2020 00:34:36.0229	33:01.4053	0.12	0.88	01.10.2020 00:34:07.9509	101.44		x	-2
Auftrag_Typ_6:2	01.10.2020 00:01:34.7210	01.10.2020 00:26:47.3219	25:12.6009	0.42	0.58	01.10.2020 02:00:08.0543	21.26		x	1
Auftrag_Typ_1:10	01.10.2020 00:01:34.9069	01.10.2020 01:18:38.6487	1:17:03.7418	0.08	0.92	01.10.2020 00:34:08.2403	236.71		x	-5
Auftrag_Typ_4:9	01.10.2020 00:01:36.5019	01.10.2020 01:34:05.9508	1:32:29.4488	0.30	0.70	01.10.2020 00:54:42.8353	174.16		x	-4
Auftrag_Typ_4:10	01.10.2020 00:01:41.1492	01.10.2020 01:07:16.8710	1:05:35.7217	0.43	0.57	01.10.2020 00:54:47.4826	123.52		x	-3
Auftrag_Typ_5:9	01.10.2020 00:01:44.7329	01.10.2020 01:13:50.1856	1:12:05.4527	0.74	0.26	01.10.2020 01:37:23.0662	75.38		x	1
Auftrag_Typ_3:12	01.10.2020 00:01:46.2595	01.10.2020 01:18:18.0159	1:16:31.7563	0.04	0.96	01.10.2020 00:34:49.5929	231.52		x	-5
Auftrag_Typ_6:3	01.10.2020 00:01:47.2614	01.10.2020 01:15:02.1619	1:13:14.9005	0.46	0.54	01.10.2020 02:00:20.5947	61.78		x	1
Auftrag_Typ_5:10	01.10.2020 00:01:47.5222	01.10.2020 00:31:26.4792	29:38.9570	0.54	0.46	01.10.2020 01:37:25.8556	31.00		x	1
Auftrag_Typ_4:11	01.10.2020 00:01:49.4515	01.10.2020 00:26:03.2821	24:13.8305	0.97	0.03	01.10.2020 00:54:55.7849	45.63		x	1
Auftrag_Typ_2:4	01.10.2020 00:01:51.0824	01.10.2020 00:15:01.0358	13:09.9534	0.20	0.80	01.10.2020 00:38:17.7491	36.13		x	1
Auftrag_Typ_1:11	01.10.2020 00:01:52.2792	01.10.2020 01:20:03.0887	1:18:10.8095	0.07	0.93	01.10.2020 00:34:25.6125	240.14		x	-5
Auftrag_Typ_3:13	01.10.2020 00:01:54.0649	01.10.2020 00:40:19.1712	38:25.1062	0.11	0.89	01.10.2020 00:34:57.3983	116.22		x	-3
Auftrag_Typ_5:11	01.10.2020 00:01:54.5357	01.10.2020 00:56:04.0503	54:09.5146	0.86	0.14	01.10.2020 01:37:32.8690	56.63		x	1
Auftrag_Typ_3:14	01.10.2020 00:01:54.8623	01.10.2020 00:36:38.7372	34:43.8749	0.12	0.88	01.10.2020 00:34:58.1956	105.07		x	-2
Auftrag_Typ_4:12	01.10.2020 00:01:57.3947	01.10.2020 01:15:15.8079	1:13:18.4132	0.33	0.67	01.10.2020 00:55:03.7280	138.04		x	-3
Auftrag_Typ_4:13	01.10.2020 00:01:57.4579	01.10.2020 00:26:45.2879	24:47.8300	0.90	0.10	01.10.2020 00:55:03.7912	46.69		x	1
Auftrag_Typ_1:12	01.10.2020 00:01:57.8742	01.10.2020 01:50:38.0002	1:48:40.1260	0.05	0.95	01.10.2020 00:34:31.2075	333.79		x	-5
Auftrag_Typ_1:13	01.10.2020 00:01:59.7344	01.10.2020 01:30:18.5402	1:28:18.8058	0.07	0.93	01.10.2020 00:34:33.0678	271.27		x	-5
Auftrag_Typ_2:5	01.10.2020 00:01:59.7354	01.10.2020 00:56:33.0540	54:33.3186	0.09	0.91	01.10.2020 00:38:26.4020	149.69		x	-3
Auftrag_Typ_1:14	01.10.2020 00:01:59.8328	01.10.2020 01:40:40.5687	1:38:40.7359	0.06	0.94	01.10.2020 00:34:33.1661	303.11		x	-5

Episode2
Auftrag_Typ_3:1	01.10.2020 00:01:00.0874	01.10.2020 00:06:04.5732	5:04.4858	0.52	0.48	01.10.2020 00:34:03.4207	15.35			1
Auftrag_Typ_2:1	01.10.2020 00:01:00.2443	01.10.2020 01:15:04.4892	1:14:04.2449	0.03	0.97	01.10.2020 00:37:26.9110	203.24			-5
Auftrag_Typ_1:1	01.10.2020 00:01:00.4693	01.10.2020 03:03:54.2670	3:02:53.7977	0.03	0.97	01.10.2020 00:33:33.8027	561.80			-5
Auftrag_Typ_1:2	01.10.2020 00:01:03.7399	01.10.2020 00:16:30.3242	15:26.5843	0.45	0.55	01.10.2020 00:33:37.0732	47.44			1
Auftrag_Typ_1:3	01.10.2020 00:01:05.0244	01.10.2020 00:06:55.5043	5:50.4798	0.99	0.01	01.10.2020 00:33:38.3578	17.94			1
Auftrag_Typ_1:4	01.10.2020 00:01:06.3291	01.10.2020 01:06:21.9811	1:05:15.6520	0.09	0.91	01.10.2020 00:33:39.6624	200.46			-5
Auftrag_Typ_1:5	01.10.2020 00:01:07.1732	01.10.2020 00:06:37.4331	5:30.2599	0.85	0.15	01.10.2020 00:33:40.5066	16.91			1
