Episode	Arbeitend	Wartend	Rüstend	Gestört	Relative_Belegung	Bearbeitete_BE	Leer	Pausiert
1	0.340277777777778	22.9930555555556	0	0	1.45833333333333	196	22.9930555555556	0
2	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
3	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
4	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
5	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
6	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
7	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
8	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
9	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
10	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
11	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
12	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
13	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
14	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
15	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
16	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
17	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
18	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
19	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
20	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
21	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
22	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
23	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
24	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
25	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
26	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
27	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
28	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
29	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
30	0.263888888888889	23.7361111111111	0	0	1.09953703703704	190	23.7361111111111	0
31	0.2625	23.7375	0	0	1.09375	189	23.7375	0
32	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
33	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
34	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
35	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
36	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
37	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
38	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
39	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
40	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
41	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
42	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
43	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
44	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
45	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
46	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
47	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
48	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
49	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
50	0.266666666666667	23.7333333333333	0	0	1.11111111111111	192	23.7333333333333	0
