Episode	Mittlere_Durchlaufzeit	Produktionsdauer	Relative_Durchlaufzeit	Termintreue
Episode136	0.0000	1:58:20.0000	74.83	74.05
Episode137	0.0000	1:18:42.1221	57.44	55.75
Episode138	0.0000	2:08:44.5814	70.91	70.03
Episode139	0.0000	1:03:20.7791	58.60	57.16
Episode140	0.0000	3:04:22.8066	66.24	64.93
Episode141	0.0000	2:03:48.6278	83.75	83.37
Episode142	0.0000	1:23:53.9946	101.17	101.49
Episode143	0.0000	1:57:56.8761	78.07	77.46
Episode144	0.0000	2:38:06.8740	67.30	66.20
Episode145	0.0000	1:44:07.1651	98.60	98.85
Episode146	0.0000	3:19:02.4418	91.29	90.95
Episode147	0.0000	1:45:55.6219	100.22	100.47
Episode148	0.0000	2:00:31.5167	82.71	82.14
Episode149	0.0000	1:24:17.9612	64.57	63.22
Episode150	0.0000	1:09:36.6234	73.31	72.39
Episode151	0.0000	1:38:00.6080	57.28	55.88
Episode152	0.0000	2:20:20.9608	109.36	110.01
Episode153	0.0000	1:55:52.5595	74.33	73.50
Episode154	0.0000	1:40:06.1865	55.53	53.89
Episode155	0.0000	52:44.4001	58.51	57.02
Episode156	0.0000	1:54:41.6190	89.46	89.30
Episode157	0.0000	2:09:01.5322	72.42	71.52
Episode158	0.0000	2:43:29.4742	71.70	70.75
Episode159	0.0000	1:59:03.5529	101.08	101.48
Episode160	0.0000	2:27:49.6467	80.00	79.26
Episode161	0.0000	2:06:18.2423	73.48	72.53
Episode162	0.0000	1:11:37.7996	75.24	74.38
Episode163	0.0000	2:17:56.2843	89.16	89.08
Episode164	0.0000	1:28:50.7202	61.71	60.38
Episode165	0.0000	1:44:55.8298	78.68	78.13
Episode166	0.0000	1:36:51.5637	51.38	49.56
Episode167	0.0000	2:45:36.3559	84.25	83.73
Episode168	0.0000	1:40:11.8027	66.91	65.64
Episode169	0.0000	1:10:24.0137	70.27	69.15
Episode170	0.0000	1:24:00.6790	87.16	86.89
Episode171	0.0000	1:48:25.0399	77.73	77.05
Episode172	0.0000	2:47:55.0357	82.98	82.59
Episode173	0.0000	1:11:16.3927	68.89	67.78
Episode174	0.0000	1:40:00.2644	96.65	96.73
Episode175	0.0000	1:30:54.3440	67.47	66.31
Episode176	0.0000	2:59:32.0207	95.41	95.44
Episode177	0.0000	2:26:31.7745	71.25	70.25
Episode178	0.0000	1:53:07.4552	77.70	76.93
Episode179	0.0000	2:40:42.4420	107.14	107.69
Episode180	0.0000	1:53:12.7649	78.28	77.61
Episode181	0.0000	2:41:57.3603	80.12	79.33
Episode182	0.0000	1:38:05.2330	81.01	80.68
